epoch,loss,accuracyTrain,accuracyTest
240.0,138.32586669921875,97.514,65.42
241.0,140.80523681640625,97.882,66.13
242.0,138.66552734375,97.862,65.18
243.0,138.23341369628906,97.714,65.45
244.0,137.7338409423828,97.418,65.46
245.0,139.15989685058594,97.74,65.58
246.0,137.1600799560547,97.82,65.05
247.0,138.86940002441406,97.932,65.3
248.0,136.15553283691406,98.162,65.43
249.0,135.5449676513672,97.912,65.3
250.0,134.51278686523438,97.758,65.13
251.0,132.40184020996094,97.254,65.26
252.0,135.8816375732422,97.904,65.52
253.0,134.8205108642578,97.926,65.04
254.0,134.39471435546875,97.538,64.89
255.0,132.478759765625,98.15,65.69
256.0,135.86407470703125,97.94,65.2
257.0,134.043701171875,98.032,65.45
258.0,136.6410675048828,98.066,65.13
259.0,134.60531616210938,97.702,65.77
260.0,131.83326721191406,97.662,65.27
261.0,133.66787719726562,97.898,65.35
262.0,130.53700256347656,98.212,66.02
263.0,135.78961181640625,97.706,65.55
264.0,131.928466796875,98.098,65.7
265.0,134.48678588867188,97.984,65.37
266.0,130.6942596435547,98.118,65.66
267.0,132.4598846435547,97.936,64.85
268.0,129.385009765625,97.194,65.5
269.0,130.30299377441406,98.176,65.28
270.0,131.809814453125,98.152,65.66
271.0,125.53335571289062,98.016,64.95
272.0,131.1036376953125,97.386,65.11
273.0,129.5635223388672,97.952,65.45
274.0,131.1479949951172,98.118,65.27
275.0,129.46966552734375,98.342,65.72
276.0,126.33688354492188,98.242,65.45
277.0,129.2017822265625,97.864,65.45
278.0,127.98743438720703,98.19,65.53
279.0,127.1288833618164,97.666,64.88
280.0,128.4739227294922,98.178,65.05
281.0,126.4478530883789,98.184,65.43
282.0,128.7332305908203,98.116,65.06
283.0,124.56556701660156,98.214,65.22
284.0,125.46333312988281,98.366,65.15
285.0,126.77811431884766,98.04,64.73
286.0,127.85609436035156,98.432,65.29
287.0,126.11831665039062,98.09,64.54
288.0,125.48816680908203,98.22,64.79
289.0,126.88780212402344,98.398,65.45
290.0,125.26248168945312,98.254,65.09
291.0,122.82553100585938,97.812,65.25
292.0,123.79658508300781,98.276,64.71
293.0,124.13375854492188,98.492,64.79
294.0,127.18465423583984,97.952,64.98
295.0,123.62345123291016,98.446,65.19
296.0,124.77732849121094,98.46,65.3
297.0,123.48828887939453,98.56,65.12
298.0,120.29461669921875,98.574,65.17
299.0,123.93587493896484,98.436,65.1
300.0,126.3587875366211,98.496,65.51
301.0,119.86601257324219,98.538,64.8
302.0,120.93894958496094,97.812,65.26
303.0,122.80286407470703,98.578,65.53
304.0,123.65841674804688,98.652,65.36
305.0,121.06419372558594,98.668,65.4
306.0,121.30516815185547,98.754,65.52
307.0,122.69697570800781,98.414,65.0
308.0,123.62731170654297,98.438,65.31
309.0,123.17296600341797,98.438,65.2
310.0,121.10883331298828,98.308,65.18
311.0,120.4305419921875,98.76,64.81
312.0,122.89569091796875,98.616,65.04
313.0,118.70811462402344,98.58,64.97
314.0,120.0610122680664,98.614,65.05
315.0,119.61792755126953,98.734,65.46
316.0,121.58425903320312,98.656,65.12
317.0,121.16799926757812,98.538,65.04
318.0,120.2974853515625,98.536,64.29
319.0,118.29875946044922,98.638,65.36
320.0,120.31232452392578,98.534,65.06
321.0,118.86901092529297,98.292,64.87
322.0,118.59153747558594,98.568,65.32
323.0,117.7242202758789,98.85,64.98
324.0,119.4493637084961,98.762,64.86
325.0,120.14388275146484,98.83,65.05
326.0,119.79716491699219,98.418,64.91
327.0,118.03071594238281,98.616,64.93
328.0,117.2011489868164,98.642,65.35
329.0,117.12201690673828,98.818,65.18
330.0,119.17089080810547,98.692,64.78
331.0,116.03080749511719,98.744,64.93
332.0,116.23589324951172,98.132,64.66
333.0,115.41917419433594,98.76,65.12
334.0,115.41259765625,98.996,65.07
335.0,115.59857940673828,98.818,64.79
336.0,116.50347137451172,98.658,64.85
337.0,116.80757904052734,98.86,65.3
338.0,114.74539184570312,98.734,64.77
339.0,115.92678833007812,98.71,64.93
340.0,116.2193832397461,98.488,65.15
341.0,116.91134643554688,98.8,65.25
342.0,117.29067993164062,98.58,64.87
343.0,115.64286041259766,98.9,65.13
344.0,114.72205352783203,98.686,64.71
345.0,115.29073333740234,98.712,64.97
346.0,113.25112915039062,98.86,64.86
347.0,111.33169555664062,98.718,64.92
348.0,118.12010192871094,98.756,64.98
349.0,113.74368286132812,98.926,64.86
350.0,111.29718780517578,98.514,64.6
351.0,115.71785736083984,98.934,65.1
352.0,112.6482162475586,98.642,65.01
353.0,115.67520141601562,98.952,64.65
354.0,113.12431335449219,98.642,64.83
355.0,112.39815521240234,98.55,64.59
356.0,113.23717498779297,98.986,64.81
357.0,111.56016540527344,98.888,64.97
358.0,110.50975799560547,98.66,64.31
359.0,111.76094818115234,98.758,64.66
360.0,111.22052001953125,99.112,64.76
361.0,112.55753326416016,98.964,64.74
362.0,112.00670623779297,98.934,64.79
363.0,113.61038208007812,99.062,65.03
364.0,111.56938934326172,98.994,64.82
365.0,111.62852478027344,98.984,64.91
366.0,109.63333129882812,98.798,64.81
367.0,111.23072814941406,98.938,64.68
368.0,110.64697265625,98.714,64.35
369.0,112.11114501953125,98.876,64.53
370.0,111.92591857910156,98.926,64.7
371.0,110.08665466308594,98.94,64.47
372.0,111.59422302246094,98.826,65.09
373.0,110.08535766601562,99.064,64.63
374.0,113.52345275878906,98.97,64.83
375.0,111.1138916015625,98.928,64.75
376.0,112.46487426757812,99.032,64.62
377.0,110.26232147216797,98.938,64.62
378.0,109.93597412109375,98.436,64.87
379.0,109.65737915039062,99.156,64.75
380.0,109.83322143554688,98.862,64.88
381.0,107.16720581054688,99.064,64.73
382.0,109.32864379882812,98.76,64.61
383.0,108.98431396484375,98.984,64.82
384.0,107.10191345214844,99.174,64.63
385.0,107.67337036132812,99.062,64.86
386.0,108.56149291992188,98.864,64.6
387.0,112.35932922363281,98.848,64.8
388.0,108.7093505859375,99.084,64.6
389.0,106.56034851074219,98.876,64.3
390.0,108.38994598388672,99.138,64.55
391.0,110.09487915039062,99.034,64.52
392.0,107.121337890625,98.918,64.26
393.0,108.59378051757812,99.09,64.88
394.0,106.62109375,98.266,63.98
395.0,109.34185791015625,99.008,64.7
396.0,106.36933135986328,98.932,64.57
397.0,108.1460189819336,99.152,65.06
398.0,108.26068878173828,99.076,64.74
399.0,106.03345489501953,99.13,64.48
400.0,108.24556732177734,99.17,64.47
